full_name,surname,name,ug_degree,ug_institution,ug_grad_year,ug_subjects,m_degree,m_institution,m_grad_year,d_degree,d_institution,d_grad_year,d_subjects,current_position,dataTXT,us_state,country,coordinate location,latitude,longitude,pos_year,science,science1,science_icon,science2,science3,science4,science5,major_career
"Davis, Lucia",Davis,Lucia,AB,Bryn Mawr College,1902,Greek and Latin Private Tutor 190203; Teacher of Latin and Mathematics in Miss Cooper's School Albany N Y 1903- OS; Tutor for the Bryn Mawr School 1905-08; Social Settlement Worker Lawrence House 1908-10; Independent Worker and Lecturer in Social Hygiene 1910-13; Social Worker in Sonnebom's Clothing Factory Baltimore 1913-15; Y W C A Secretary in charge of Home Directory Baltimore 1915-18; Pastor's Assistant Mount Vernon Place Church Baltimore 1918,NA,NA,NA,NA,NA,NA,NA,Pastor's Assistant Mount Vernon Place Church Baltimore,Baltimore,Maryland,United States of America,"39.286388888889,-76.615",39.28638889,-76.615,1918,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Davis, Sarah Ellen",Davis,Sarah Ellen,AB,Bryn Mawr College,1903,Chemistry and Biology Teacher of Science in the Emma Willard School Troy N Y 1903-05; Graduate Student Bryn Mawr 1905-06; Student University of Leipsic 1906-07 University of Zurich 1907-08,NA,NA,NA,NA,NA,NA,NA,Student University of Leipsic  University of Zurich,Leipzig University,NA,Germany,"51.3387,12.37872778",51.3387,12.37872778,1908,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Day, Alice Hooker",Day,Alice Hooker,AB,Bryn Mawr College,1902,Chemistry and Geology Special Student in the Law School New York University 1902- 03; Treasurer New York Consumers' League 1903-08 Recording Secretary 1908-13 and Vice-President 1913-19; Graduate Student Columbia University 190809; Recording Secretary National Consumers' League 1914-19 Married 1909 Mr Percy Jackson,NA,NA,NA,NA,NA,NA,NA,Recording Secretary National Consumers' League,New York City,New York,United States of America,"40.712775, -74.005973",40.712775,-74.005973,1919,"chemistry, geology",chemistry,interdisciplinary,geology,NA,NA,NA,major
"Dean, Elisa",Dean,Elisa,AB,Bryn Mawr College,1900,Chemistry and Biology Private Secretary 1901-03; Assistant in the Department of Science in the High School Altoona 1906-0 Married 1907 Dr Joseph Dysart Findley One son three daughters DE,NA,NA,NA,NA,NA,NA,NA,Assistant in the Department of Science in the High School Altoona,Altoona,Pennsylvania,United States of America,"40.5107,-78.3997",40.5107,-78.3997,1906,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Denis, Willey",Denis,Willey,AB,Tulane University,1899,NA,AM,Tulane University,1902,PhD,University of Chicago,1907,NA,Chemist in the Massachusetts General Hospital Boston,Boston,Massachusetts,United States of America,"42.357777777778,-71.061666666667",42.35777778,-71.06166667,1913,chemistry,chemistry,chemistry,NA,NA,NA,NA,career
"Dessau, Florence Maud",Dessau,Florence Maud,AB,Bryn Mawr College,1913,Latin and Mathematics Teacher of Latin Mathematics and Athletics in Miss Howe and Miss Marot's School Thompson Conn 1913-16 and Secretary 1915-18; Assistant Treasurer in firm of Melchior Armstrong & Dessau New York City 1918  DE,NA,NA,NA,NA,NA,NA,NA,Assistant Treasurer in firm of Melchior Armstrong & Dessau New York City,New York City,New York,United States of America,"40.67,-73.94",40.67,-73.94,1918,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Dimon, Abigail Camp",Dimon,Abigail Camp,AB,Bryn Mawr College,1896,Chemistry and Biology and,AM,NA,1899,NA,NA,NA,NA,Farming,"Utica, N. Y.",New York,United States of America,"43.100903, -75.232664",43.100903,-75.232664,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Ditmars, Helen Sydney",Ditmars,Helen Sydney,AB,Bryn Mawr College,1903,Latin and Italian and Spanish Teacher of Latin in Wissa- hickon Heights School Philadelphia 1903-04 and Teacher of Latin German and Mathematics 190405; Substitute Teacher in the Girls' High School Philadelphia 1905-06; Teacher of Spanish and Latin in the High School Bridgeton 1917-19 Married 1906 Dr Millard Freeman Sewall One daughter trvo sons,NA,NA,NA,NA,NA,NA,NA,Teacher of Spanish and Latin in the High School Bridgeton,Bridgeton,New Jersey,United States of America,"39.4275,-75.228",39.4275,-75.228,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Dixon, Henrietta Amelia",Dixon,Henrietta Amelia,AB,Bryn Mawr College,1917,Chemistry and Biology,NA,NA,NA,NA,NA,NA,NA,NA,"East Orange, N. J.",New Jersey,United States of America,"40.767323, -74.204868",40.767323,-74.204868,1917,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Dodd, Hannah Maria",Dodd,Hannah Maria,AB,Bryn Mawr College,1911,Latin and French Teacher of Mathematics in the High School Sussex N J 1912-13; Teacher of Latin in the Fassifern School Lincolnton N C 1913-14 Married 1914 Mr William Edward Thompson Three daughters one son,NA,NA,NA,NA,NA,NA,NA,Teacher of Latin in the Fassifern School Lincolnton N C,Lincolnton,North Carolina,United States of America,"35.474166666667,-81.242777777778",35.47416667,-81.24277778,1914,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Dodd, Katharine",Dodd,Katharine,AB,Bryn Mawr College,1914,Chemistry and Biology Bryn Mawr European Fellow 1914-15; Teacher in Miss Haskell's School Boston 1914-17; Student Johns Hopkins Medical School 1917-,NA,NA,NA,NA,NA,NA,NA,Student Johns Hopkins Medical School,Johns Hopkins University,Maryland,United States of America,"39.328888888889,-76.620277777778",39.32888889,-76.62027778,1917,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Dodd, Margaret Perley",Dodd,Margaret Perley,AB,Bryn Mawr College,1916,Psychology and Chemistry Student of Household Management Simmons  1916-17 Married 1917 Mr Paul H Sangree One daughter,NA,NA,NA,NA,NA,NA,NA,Student of Household Management Simmons,"Haddonfield, N. J.",New Jersey,United States of America,"39.891502, -75.037671",39.891502,-75.037671,1917,chemistry,chemistry,chemistry,NA,NA,NA,NA,major
"Doe, Julia Adrienne",Doe,Julia Adrienne,AB,Bryn Mawr College,1909,Greek and Mathmatics;,AM,University of Wisconsin,1910,PhD,Bryn Mawr College,1915,NA,Instructor in English Composition Macalester St Paul,Macalester College,Minnesota,United States of America,"44.940218, -93.170220",44.940218,-93.17022,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Doolittle, Margaret Chloe",Doolittle,Margaret Chloe,AB,Bryn Mawr College,1908,Latin and Mathematics Teacher of Mathematics in the Misses Kirk's School Bryn Mawr Pa 1903,NA,NA,NA,NA,NA,NA,NA,Teacher of Mathematics in the Misses Kirk's School Bryn Mawr Pennsylvania,Bryn Mawr,Pennsylvania,United States of America,"40.0211,-75.3169",40.0211,-75.3169,1891,mathematics,mathematics,mathematics,NA,NA,NA,NA,both
"Dover, Mary Violette",Dover,Mary Violette,AB,McGill University,1898,NA,NA,NA,NA,PhD,University of Breslau,1908,NA,Instructor in Chemistry University of Missouri,University of Missouri Kansas City,Missouri,United States of America,"39.033547,-94.575578",39.033547,-94.575578,1915,chemistry,chemistry,chemistry,NA,NA,NA,NA,career
"Dowd, Constance Eleanor",Dowd,Constance Eleanor,AB,Bryn Mawr College,1916,"Psychology and Biology Y W C A Chib ""Worker 1916-17; Clerk Ordnance Bureau War Department 1918-19; Assistant Director of Athletics and Gymnastics Bryn Mawr  1919",NA,NA,NA,NA,NA,NA,NA,Assistant Director of Athletics and Gymnastics Bryn Mawr,Bryn Mawr College,Pennsylvania,United States of America,"40.02639,-75.31361",40.02639,-75.31361,1919,biology,biology,biology,NA,NA,NA,NA,major
"Downey, Katherine Melvina",Downey,Katherine Melvina,AB,University of Minnesota,1910,NA,AM,University of Minnesota,1913,NA,NA,NA,NA,Scholar in Physics University of Minnesota,University of Minnesota,Minnesota,United States of America,"44.975277777778,-93.234166666667",44.97527778,-93.23416667,1918,physics,physics,physics,NA,NA,NA,NA,career
"Dudley, Helena Stuart",Dudley,Helena Stuart,AB,Bryn Mawr College,1889,Chemistry and Biology Teacher of Chemistry and Biology in the Packer Collegiate Institute Brooklyn N Y 1S89-92; Head Worker Settlement Philadelphia 1892-93; Head Worker Settlement Boston 1893-1912; Volunteer Church Worker 1914-15; Volunteer Social Worker 1915-17,NA,NA,NA,NA,NA,NA,NA,Volunteer Social Worker,"Waltham, MA",Massachusetts,United States of America,"42.376485, -71.235611",42.376485,-71.235611,1917,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Dudley, Louise",Dudley,Louise,AB,Georgetown,1905,NA,NA,NA,NA,PhD,Bryn Mawr College,1910,English  Philology English Literature and English History Graduate Student Bryn Mawr  1905-06 Fellow in English 1906-07 and Graduate Scholar 1910; Teacher of Mathematics and Latin in Kemper Hall Kenosha Wis 1907-08; Research Student BibliothÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¦ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¾ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¼ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Â ÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â£ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¸ÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â³que Nationale Paris 1908-09 and Student Oxford University First Semester 1909-10; Instructor in English Literature Mt Holyoke 1910-11; Professor of English Stephens Columbia Mo 19131913-141918,Social Worker with Girls in French Munition Factory,France,NA,France,"47,2",47,2,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Dulles, Eleanor Lansing",Dulles,Eleanor Lansing,AB,Bryn Mawr College,1917,Psychology and Biology Relief Work in France 1917-19; Bryn Mawr I C S A Fellow and Student Bryn Mawr,NA,NA,NA,NA,NA,NA,NA,Bryn Mawr I C S A Fellow and Student Bryn Mawr,Bryn Mawr College,Pennsylvania,United States of America,"40.02639,-75.31361",40.02639,-75.31361,NA,biology,biology,biology,NA,NA,NA,NA,major
"Dunham, Ethel Collins",Dunham,Ethel Collins,AB,Bryn Mawr College,1914,Chemistry and Biology Student Johns Hopkins Medical School 1914-18 and MD 1918 Resident House Officer Johns Hopkins Hospital 1918-19; Assistant Resident in Medicine New Haven Hospital New Haven Conn 1919,NA,NA,NA,NA,NA,NA,NA,Assistant Resident in Medicine New Haven Hospital New Haven Connecticut,New Haven,Connecticut,United States of America,"41.308333333333,-72.925",41.30833333,-72.925,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Durand, Edith Pusey",Durand,Edith Pusey,AB,Bryn Mawr College,1906,Latin and Mathematics Professor of French and Assistant in Latin and Mathematics in the Lancaster Lancaster Pa 1906-07 and in the Shippen School for Girls Lancaster 1907-08; Student of Music 1908-10; Principal of the High School Huntingdon Valley Pa 1910-11 Married 1912 Mr Gilbert Beebe Three daughters,NA,NA,NA,NA,NA,NA,NA,Principal of the High School Huntingdon Valley Pennsylvania,Huntingdon,Pennsylvania,United States of America,"45.083333333333,-74.166666666667",45.08333333,-74.16666667,1911,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Elder, Grace",Elder,Grace,AB,Bryn Mawr College,1897,Latin and Mathematics Teacher in Mathematics in Miss Florence Baldwin's School Bryn Mawr Pa 1897-1901; Tutor in Mathematics 1901-19; Teacher in the Goodyear-Burlingame School Syracuse 1911 13; Teacher of Mathematics The Agnes Irwin School Philadelphia 1918-19 Married 1900 Mr Frederick A Saunders One son one daughter,NA,NA,NA,NA,NA,NA,NA,Teacher of Mathematics The Agnes Irwin School Philadelphia,Agnes Irwin School,Pennsylvania,United States of America,"40.0283,-75.3502",40.0283,-75.3502,1919,mathematics,mathematics,mathematics,NA,NA,NA,NA,both
"Eldredge, Adda",Eldredge,Adda,AB,Bryn Mawr College,1908,Latin and Mathematics Teacher of Music in the Girls' House of Refuge Philadelphia 1908; Teacher in Wykeham Rise Washington Conn 1909-10; Assistant in French and German Agnes Scott Decatur Ga 1910-11; Private Tutor and Student of Music 1911-12; Student in the Law School University of Chicago 1913-16; J D 1916; admitted to State Bar of Illinois 1916 and practicing law Chicago 1916-18; Lawyer member of firm Miller Eldredge & Eldredge 1918,NA,NA,NA,NA,NA,NA,NA,Admitted to State Bar of Michigan,"Marquette, Mich.",Michigan,United States of America,"46.547582, -87.395595",46.547582,-87.395595,NA,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Ellis, Mary French",Ellis,Mary French,AB,Bryn Mawr College,1895,Chemistry and Biology Teacher of Latin and Science in Miss KeyserÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s School Philadelphia 1895ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â· 1906; Teacher of Latin and Gymnastics in the Gordon School Philadelphia 1906-10; Principal 1910-11 Teacher of Latin 1911-13 and Teacher of Mathematics 1913-16; Red Cross Canteen Work France 1918-19; Teacher of Latin and Mathematics Springside Chestnut Hill Philadelphia 1916,NA,NA,NA,NA,NA,NA,NA,Teacher of Latin and Mathematics Springside Chestnut Hill Philadelphia,Chestnut Hill,Pennsylvania,United States of America,"40.07045,-75.20656",40.07045,-75.20656,1916,"biology, chemistry, mathematics",biology,interdisciplinary,chemistry,mathematics,NA,NA,both
"Ellis, Sara Frazer",Ellis,Sara Frazer,AB,Bryn Mawr College,1904,Latin and French Teacher of Mathematics and History in Miss GleimÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s School for Girls Pittsburgh 1904-09 and of Mathematics in the Thurston-Gleim School 1909-12; Teacher of Mathematics in the Bryn Mawr School Baltimore 1913ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â·15; Headmistress Miss EllisÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s private School for Girls Pittsburgh,NA,NA,NA,NA,NA,NA,NA,Headmistress Miss Ellis's private School for Girls Pittsburgh,Pittsburgh,Pennsylvania,United States of America,"40.45,-80",40.45,-80,NA,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Emerson, Elisabeth",Emerson,Elisabeth,AB,Bryn Mawr College,1917,Chemistry and Biology Student Johns Hopkins Medical School 1917,NA,NA,NA,NA,NA,NA,NA,Student Johns Hopkins Medical School,Johns Hopkins University,Maryland,United States of America,"39.328888888889,-76.620277777778",39.32888889,-76.62027778,1917,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Emerson, Helen",Emerson,Helen,AB,Bryn Mawr College,1911,Mathematics and Physics;,AM,Brown University,1916,NA,NA,NA,NA,A R C Canteen Service in France,France,NA,France,"47,2",47,2,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Evans, Katherine Mary",Evans,Katherine Mary,AB,Bryn Mawr College,1910,Chemistry and Biology Travelling in Europe 1910-11; Teacher of Languages in the High School Nicholasville Ky 1913-15; Research Chemist National Aniline and Chemical Co New York 1918-19; Working for French Soldiers Pas du Calais France 1919; Teacher of Chemistry and French in the High School Paris Ky 1919-ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â·,NA,NA,NA,NA,NA,NA,NA,Teacher of Chemistry and French in the High School Pennsylvania,Pennsylvania,Pennsylvania,United States of America,"41,-77.5",41,-77.5,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,both
"Evelyn, Charlotte",Evelyn,Charlotte,AB,University of Indiana,1906,NA,AM,University of Indiana,1907,PhD,Johns Hopkins University,1913,NA,Chemist in the Massachusetts General Hospital Boston,Boston,Massachusetts,United States of America,"42.357777777778,-71.061666666667",42.35777778,-71.06166667,1917,chemistry,chemistry,chemistry,NA,NA,NA,NA,career
"Faijian, Mary Huntington",Faijian,Mary Huntington,AB,Bryn Mawr College,1907,Philosophy and Physics Student of Music 1908-09; Teacher of French in Roycemore School Evanston 111 1917-18; Assistant in French Northwestern University 1918,NA,NA,NA,NA,NA,NA,NA,Assistant in French Northwestern University,Northwestern University,Illinois,United States of America,"42.054853,-87.673945",42.054853,-87.673945,1918,physics,physics,physics,NA,NA,NA,NA,major
"Farquhar, Dorothea",Farquhar,Dorothea,AB,Bryn Mawr College,1900,Latin and English Teacher of Mathematics in the Balliol School Utica N Y 1900-01 Instructor in Latin and Mathematics 1901-03 and Head of the Department of Mathematics 1903- 05; Teacher of Latin and Mathematics Detroit Seminary 1905-06; Volunteer Teacher by Montessori Method 1912-13; Volunteer Social Worker 1915  Married 1906 Mr Frederick Cushing Cross Three daughters one son,NA,NA,NA,NA,NA,NA,NA,Volunteer Social Worker,"Groton, MA",Massachusetts,United States of America,"42.611202, -71.574515",42.611202,-71.574515,1915,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Faulkner, Ellen",Faulkner,Ellen,AB,Bryn Mawr College,1913,Chemistry and Biology Science Teacher in Miss Low and Miss HeywoodÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s School Stamford Conn 1914-17; Clerk Farmers' Loan Trust Co Paris 1918-19,NA,NA,NA,NA,NA,NA,NA,Clerk Farmers' Loan Trust Co Paris,Paris Connecticut,Connecticut,United States of America,"39.248174, -94.702824",39.248174,-94.702824,1919,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Fegley, Beulah Helen",Fegley,Beulah Helen,AB,Bryn Mawr College,1918,Mathematics and Physics,NA,NA,NA,NA,NA,NA,NA,NA,Philadelphia,Pennsylvania,United States of America,"39.952584, -75.165222",39.952584,-75.165222,1918,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Fendall, Mary Gertrude",Fendall,Mary Gertrude,AB,Bryn Mawr College,1912,Mathematics and Physics National Organizer of National WomanÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s Party 1916-17; Treasurer of National WomanÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s Party Washington D C 1917-18,NA,NA,NA,NA,NA,NA,NA,Treasurer of National Woman's Party Washington D C,"Washington, D.C.","Washington, D.C.",United States of America,"38.895,-77.036666666667",38.895,-77.03666667,1918,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Flather, Mary Drusilla",Flather,Mary Drusilla,PhB,Women's College in Brown University,1917,NA,NA,NA,NA,NA,NA,NA,NA,Instructor in Zoology Mount Holyoke College,Mount Holyoke College,Massachusetts,United States of America,"42.255586,-72.574503",42.255586,-72.574503,1919,zoology,zoology,zoology,NA,NA,NA,NA,career
"Fleisher, Madeleine Wolf",Fleisher,Madeleine Wolf,AB,Bryn Mawr College,1914,Physics and Philosophy Married 1915 Mr James Stanley Wolf One son one daughter,NA,NA,NA,NA,NA,NA,NA,NA,"Harrison, NY",New York,United States of America,"40.970017, -73.717634",40.970017,-73.717634,1914,physics,physics,physics,NA,NA,NA,NA,major
"Foulke, Mary Taylor Reeves",Foulke,Mary Taylor Reeves,AB,Bryn Mawr College,1902,Chemistry and Biology Graduate Student University College Chicago 111 190203; President of the Woman's League for Civic Reform Richmond Ind 1906-09; Chairman of 21st Ward Civic League of Chicago 1914-15; Recording Secretary National American Woman Suffrage Association 1915-16; President Chicago Equal Suffrage Association 1915-19; Member of Executive Committee State Council of National Defense 1917-18 Married 1900 Mr James William Morrisson Four sons one daughter,NA,NA,NA,NA,NA,NA,NA,Member of Executive Committee State Council of National Defense,Chicago,Illinois,United States of America,"41.878114, -87.629798",41.878114,-87.629798,1918,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Fowler, Eugenia",Fowler,Eugenia,AB,Bryn Mawr College,1901,Philosophy and Physics and,AM,NA,1902,NA,NA,NA,NA,Manager of Low Buildings Bryn Mawr,Bryn Mawr College,Pennsylvania,United States of America,"40.02639,-75.31361",40.02639,-75.31361,1909,physics,physics,physics,NA,NA,NA,NA,major
"Fowler, Laura",Fowler,Laura,AB,Bryn Mawr College,1901,Mathematics and Physics Teacher of Mathematics Mrs Chapman and Miss JonesÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s School Chestnut Hill Philadelphia 1901-02; Teacher of Mathematics and Latin in the High School Parkersburg 1903-05; Private Tutor 1908-09; Assistant to the Principals the Misses ShipleyÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â²s School Bryn Mawr 1909- 15 and Graduate Student Bryn Mawr College 1910-11; Teacher of Mathematics Bryn Mawr School Baltimore 1916,NA,NA,NA,NA,NA,NA,NA,Teacher of Mathematics Bryn Mawr School Baltimore,Baltimore,Maryland,United States of America,"39.286388888889,-76.615",39.28638889,-76.615,1916,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,both
"France, Margaret Von Torney",France,Margaret Von Torney,AB,Bryn Mawr College,1919,Psychology and Biology Graduate Student Preparatory to Hygiene Course Johns Hopkins University,NA,NA,NA,NA,NA,NA,NA,Graduate Student Preparatory to Hygiene Course Johns Hopkins University,Johns Hopkins University,Maryland,United States of America,"39.328888888889,-76.620277777778",39.32888889,-76.62027778,1919,biology,biology,biology,NA,NA,NA,NA,major
"Frazier, Julia Veronica",Frazier,Julia Veronica,AB,Bryn Mawr College,1919,Chemistry and Biology War Relief Work in France 1917-18,NA,NA,NA,NA,NA,NA,NA,War Relief Work in France,France,NA,France,"47,2",47,2,1918,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Frehafer, Mabel Katherine",Frehafer,Mabel Katherine,AB,Bryn Mawr College,1908,Mathematics and Physics;,AM,University of Wisconsin,1909,PhD,Bryn Mawr College,1919,NA,Assistant Physicist Bureau of Standards Washington,"Washington, D.C.",Washington,United States of America,"38.895,-77.036666666667",38.895,-77.03666667,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Frost, Mary Gertrude",Frost,Mary Gertrude,AB,Bryn Mawr College,1897,Mathematics and Physics Assistant Teacher of Science in the High School Chelsea Mass 1898-99; Private Tutor 1899-1900; Graduate Student Columbia University 1901-02; Teacher in the Brearley School New York City 1900-05 Married 1905 The Rev William Satterlee Packer One son three daughters,NA,NA,NA,NA,NA,NA,NA,Teacher in the Brearley School New York City,New York City,New York,United States of America,"40.67,-73.94",40.67,-73.94,1905,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Fry, Anna Delany",Fry,Anna Delany,AB,Bryn Mawr College,1899,Chemistry and Biology Student of Music 1899-1908 1909-11 Junior Bursar Bryn Mawr College 1908-09,NA,NA,NA,NA,NA,NA,NA,Junior Bursar Bryn Mawr College,Bryn Mawr College,Pennsylvania,United States of America,"40.02639,-75.31361",40.02639,-75.31361,1909,"biology, chemistry",biology,interdisciplinary,chemistry,NA,NA,NA,major
"Fyfe, Florence Marjorie",Fyfe,Florence Marjorie,AB,Bryn Mawr College,1915,Mathematics and Physics Graduate Student in Mathematics Northwestern University 1915-16; Assistant Registrar Mills College 1918-19,NA,NA,NA,NA,NA,NA,NA,Assistant Registrar Mills College,Mills College,California,United States of America,"37.780555555556,-122.18305555556",37.78055556,-122.1830556,1919,"physics, mathematics",physics,interdisciplinary,mathematics,NA,NA,NA,major
"Gail, Nannie Louise",Gail,Nannie Louise,AB,Bryn Mawr College,1916,Psychology and Biology Volunteer Philanthropic Worker 1916-17 Married 1917 Mr James Reaney Wolfe One daughter,NA,NA,NA,NA,NA,NA,NA,Volunteer Philanthropic Worker,Baltimore,Maryland,United States of America,"39.290385, -76.612189",39.290385,-76.612189,1917,biology,biology,biology,NA,NA,NA,NA,major
"Galt, Caroline Morris",Galt,Caroline Morris,AB,Bryn Mawr College,1897,Greek and Mathematics Professor of Greek and Latin Pennsylvania College for Women Pittsburgh Pa 1899-1903; Graduate Student University of Chicago Summer Quarter 1903 and Graduate Student Columbia University Summer Sessions 1908 1909 and 191718; Reader in Latin College Entrance Examination Board 1908-19; Student in the American School of Classical Studies Rome 1910-11; Reader in Latin Mount Holyoke College 1903-04; Instructor in Latin 1904-11; Associate Professor of Latin 1911-13 and Associate Professor of Archaeology 1913 _ _,NA,NA,NA,NA,NA,NA,NA,Associate Professor of Latin  and Associate Professor of Archaeology Mount Holyoke College,Mount Holyoke College,Massachusetts,United States of America,"42.255586,-72.574503",42.255586,-72.574503,1913,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
"Gentry, Ruth",Gentry,Ruth,PhB,University of Michigan,1890,NA,NA,NA,NA,PhD,Bryn Mawr College,1896,Mathematics and Pysicg FeUow in Mathematics Bryn Mawr 1 -890; Fellow by Courtesy in Mathematics Bryn Mawr,Travelling in the United States and in Europe,United States of America,NA,United States of America,"40,-100",40,-100,1914,mathematics,mathematics,mathematics,NA,NA,NA,NA,major
